Day;Amazon: (Netherlands);Bol.com: (Netherlands);Coolblue: (Netherlands);Zalando: (Netherlands);IKEA: (Netherlands);NU.nl: (Netherlands);Algemeen Dagblad: (Netherlands);De Telegraaf: (Netherlands);de Volkskrant: (Netherlands);RTL Nieuws: (Netherlands);University of Amsterdam: (Netherlands);Delft University of Technology (TU Delft): (Netherlands);University of Groningen: (Netherlands);Utrecht University: (Netherlands);Erasmus University Rotterdam: (Netherlands);Google Chrome: (Netherlands);Microsoft Bing: (Netherlands);Yahoo: (Netherlands);DuckDuckGo: (Netherlands)
2023-07-01;33;58;14;25;86;48;54;77;7;7;38;28;18;34;20;54;20;50;10
2023-07-02;30;58;15;27;86;48;54;89;5;7;36;36;14;34;22;52;20;45;9
2023-07-03;29;59;14;24;66;46;54;74;6;7;87;65;29;77;42;72;28;64;7
2023-07-04;31;60;14;25;64;48;51;80;6;7;100;62;40;65;49;77;26;71;10
2023-07-05;29;60;12;25;64;66;57;83;6;11;75;54;38;67;49;73;19;68;8
2023-07-06;27;55;13;22;58;55;56;86;6;10;74;55;34;66;39;70;22;70;8
2023-07-07;27;53;13;22;54;66;66;100;7;11;65;49;25;47;35;70;26;72;10
2023-07-08;29;52;13;24;63;59;60;93;7;8;30;26;20;18;35;49;17;51;11
2023-07-09;30;55;13;24;73;67;62;91;6;10;46;25;15;22;19;44;19;45;14
2023-07-10;34;59;12;22;59;58;54;88;7;10;83;49;34;49;39;65;23;72;11
2023-07-11;57;55;13;21;55;53;56;84;6;9;72;58;30;61;51;63;28;69;13
2023-07-12;45;54;13;22;60;47;52;79;6;8;59;48;32;52;40;71;31;66;14
2023-07-13;30;54;11;19;56;49;50;100;6;9;73;61;35;60;40;74;20;67;12
2023-07-14;27;53;13;20;57;51;55;84;6;8;56;39;35;49;32;63;26;70;10
2023-07-15;27;56;12;20;77;52;54;82;7;8;36;24;17;10;23;59;18;48;16
2023-07-16;29;54;14;21;93;50;55;80;6;8;31;22;14;18;20;51;22;47;15
2023-07-17;27;53;14;21;70;45;50;78;5;7;64;47;22;53;38;67;26;79;10
2023-07-18;27;59;12;20;61;48;55;83;6;8;61;48;27;36;37;81;20;67;9
2023-07-19;28;56;13;18;62;48;53;84;6;8;56;43;24;46;29;100;20;77;13
2023-07-20;25;56;12;17;59;49;54;74;5;9;62;40;33;41;21;81;19;65;16
2023-07-21;27;55;13;16;69;51;53;78;6;10;51;40;20;36;23;70;19;61;14
2023-07-22;29;52;12;18;94;50;51;78;8;7;28;0;12;22;15;54;19;46;10
2023-07-23;31;55;13;21;97;55;53;82;6;8;30;19;15;25;23;57;21;47;17
2023-07-24;32;64;13;20;80;50;52;82;5;8;45;36;17;44;26;64;21;65;14
2023-07-25;29;59;12;20;72;49;51;83;5;8;46;36;31;35;21;83;19;67;12
2023-07-26;33;60;14;19;73;52;55;81;6;9;41;36;19;36;26;76;21;81;16
2023-07-27;28;57;12;16;74;53;54;83;7;8;43;43;18;34;25;76;23;80;15
2023-07-28;29;51;12;17;72;51;54;82;7;8;33;33;17;20;25;57;21;77;9
2023-07-29;28;51;13;18;91;52;56;79;6;7;13;13;10;20;20;52;20;53;6
2023-07-30;29;55;12;20;100;49;51;81;6;7;36;17;11;29;18;54;19;54;14
2023-07-31;30;59;15;20;89;49;52;79;6;8;49;34;21;47;32;79;21;72;15